browser,c_color,code_ver,connection_type,country,first_hit_ref_type,geo_city,geo_country,geo_dma,geo_region,geo_zip,hit_source,javascript,language,last_purchase_num,mobile_id,os,page_event,post_cookies,post_pagename,post_Category_ev1_,post_Page_Type_ev3_,post_Finding_method__ev61_,post_LockIn_User_State_ev99_,post_page_event,post_visid_type,ref_type,resolution,search_page_num,va_closer_id,va_finder_id,visit_ref_type_
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,navsari,ind,356008,gj,396421,1,1.6,b'English_(United_States)',0,0,Windows_7,0,Y,HomePage,HomePage,FLIPKART:HomePage,Recommendation,NON_LOGGED_IN,0,5,6,10,0,2,2,6
Google_Chrome_70,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,los_angeles****,gbr,826044,lnd**,ec2v_5aa****,1,1.6,b'English_(United_States)',0,0,Linux,0,Y,WomenFW**,WomenFashionAccessory**,FLIPKART:Product_Page,Direct,NON_LOGGED_IN,0,5,6,215,0,2,2,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,gurgaon,ind,356001,hr,122001**,1,1.6,b'English_(United_States)',0,0,Windows_7,0,Y,ViewAllPage**,ViewAllPage**,FLIPKART:OffersList,Direct,INACTIVE,0,5,6,185,0,2,2,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Other_Web_Sites,visakhapatnam**,ind,356009,ap,530001****,1,1.6,b'English_(United_States)',0,0,Windows_7,0,Y,MenFW,MenFW,FLIPKART:Product_Page,Direct,NON_LOGGED_IN,0,5,6,185,0,9,9,3
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,Network_(mostly_U.S.),Other_Web_Sites,gandhidham****,gbr,826044,hns**,tw13_4aa**,1,1.6,b'English_(United_Kingdom)',1,0,Windows_10,0,Y,HomeDecor,HomeDecor,FLIPKART:Product_Page,Search,INACTIVE,0,5,6,218,0,14,16,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,pune,ind,356005,mh,411033,1,1.6,b'English_(United_States)',1,0,Windows_10,0,Y,Search_:Audio_&_Video**,HouseHold,Search_Page,Search,ACTIVATE_ELIGIBLE,0,5,6,70,0,16,2,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,India,Other_Web_Sites,nalgonda****,ind,356004,ka,570004****,1,1.6,b'English_(United_States)',1,0,Windows_7,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,ACTIVE,0,5,6,185,0,2,12,6
Google_Chrome_73,24,JS-1.5.1,LAN/Wifi,Commercial_(mostly_U.S.),Typed/Bookmarked,chandanagar****,ind,356002,mh,416218****,1,1.6,b'English_(United_States)',2,0,Windows_7,0,Y,WomenEthnic,WomenEthnic,FLIPKART:Product_Page,Recommendation,ACTIVE,0,5,6,388,0,9,9,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,Commercial_(mostly_U.S.),Other_Web_Sites,mumbai,ind,356002,mh,400020**,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,ProductReview_FullscreenImage,ProductReview_FullscreenImage,ProductReview_FullscreenImage,Search,ACTIVE,0,5,6,185,0,16,16,3
Mozilla_Firefox_(unknown_version)**,24,JS-1.5.1,LAN/Wifi,Commercial_(mostly_U.S.),Typed/Bookmarked,tower_hamlets**,gbr,826044,twh**,ec2v_5aa****,1,1.8.5,b'English_(United_States)',0,0,OS_X_10.11,0,Y,View_All_Sellers_,MobileProtection,View_All_Sellers,post_Finding_method_(ev61)_NA,NON_LOGGED_IN,0,5,6,186,0,2,2,6
